name,value,unit,uncertainty_or_range,source,source_type,locator,verified_date,evidence_status,notes
baseline,1.035,km,reported value,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,abstract; pp. 1-2,2026-08-27,measured,Source target to detector; includes 240 m of earth.
earth traversed,240.0,m,reported value,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,source description; p. 2,2026-08-27,measured,
proton pulse duration,8.1,microsecond,reported value,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,source description; p. 2,2026-08-27,measured,
nominal pulse spacing,2.2,s,reported value; supercycle also contains a 6.267 s interval,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,frame description; p. 6,2026-08-27,measured,
protons per communications-study pulse,22500000000000.0,protons/pulse,reported reduced intensity,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,detector signal description; p. 5,2026-08-27,measured,
qualifying muon events per on pulse,0.81,event/pulse,estimated in paper from 1402 events in 3454 records,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,detector signal and Poisson estimate; p. 5,2026-08-27,estimated,Software-filtered long-muon candidates; background described as nearly zero.
MINERvA full detector mass,170.0,metric tonne,reported total weight,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,detector description; p. 3,2026-08-27,measured,
central tracker mass,3.0,metric tonne,reported value,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,detector description; p. 3,2026-08-27,measured,
long-muon-track reconstruction efficiency lower bound,0.95,fraction,paper states better than 95%,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,signal selection; p. 4,2026-08-27,estimated,"Stored value is a lower bound, not a point estimate."
reported decoded data rate,0.1,bit/s,rough estimate at 1% error probability,"D. D. Stancil et al., Demonstration of Communication using Neutrinos, Modern Physics Letters A 27 (2012), arXiv:1203.2847v2",peer-reviewed primary experiment,channel-capacity discussion; pp. 8-9,2026-08-27,estimated,
