figure,parameter,value,unit,evidence_status,notes
01_binomial_vs_poisson,p_eff,0.001,qualifying event/emitted particle,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
01_binomial_vs_poisson,particle_count_min,0,emitted particle,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
01_binomial_vs_poisson,particle_count_max,10000,emitted particle,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
02_deadline_detection,deadline_min_s,0,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
02_deadline_detection,deadline_max_s,0.02,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
02_deadline_detection,sample_count,500,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
02_deadline_detection,effective_rates_hz,100;300;1000,qualifying event/s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
03_roc_curves,stancil_anchor_signal_mean_event_per_gate,0.81,qualifying event/gate,PRIMARY_PAPER_ANCHOR,Lambda_s=0.81 is anchored to Stancil et al. (2012); this does not make the paired background or ROC regime empirical.
03_roc_curves,anchor_regime_synthetic_background_mean_event_per_gate,0.01,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
03_roc_curves,synthetic_signal_means_event_per_gate,0.5;2;5,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
03_roc_curves,synthetic_background_means_event_per_gate,0.01;0.1;1,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
03_roc_curves,maximum_count_threshold,18,count,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
04_arc_chord_advantage,mean_spherical_earth_radius_m,6371000,m,MODEL_CONSTANT,Geometry-model input; the plotted comparison remains idealized.
04_arc_chord_advantage,central_angle_min_degree,0,degree,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
04_arc_chord_advantage,central_angle_max_degree,180,degree,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
04_arc_chord_advantage,sample_count,721,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
04_arc_chord_advantage,surface_path_speed_m_s,299792458,m/s,MODEL_CONSTANT,Geometry-model input; the plotted comparison remains idealized.
04_arc_chord_advantage,chord_path_speed_m_s,299792458,m/s,MODEL_CONSTANT,Geometry-model input; the plotted comparison remains idealized.
05_incremental_value,detection_probability_min,0,probability,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,detection_probability_max,1,probability,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,detection_probability_sample_count,161,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,false_alarm_probability_min,1e-09,probability/null window,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,false_alarm_probability_max,0.001,probability/null window,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,false_alarm_probability_sample_count,181,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,pulse_costs_currency_per_valid_window,0;50;200,synthetic currency/valid window,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,valid_windows_per_year,10000,valid window/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,null_windows_per_year,1000000,null window/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,fallback_relative_gain_currency_per_success,500,synthetic currency/success,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,false_trigger_loss_currency,2000,synthetic currency/false trigger,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
