claim_or_parameter,value,unit,uncertainty_or_range,source,source_type,exact_locator,date_verified,evidence_status,notes
communication_baseline,1.035,km,as reported,Stancil et al. 2012,peer-reviewed paper / author manuscript,"abstract; p. 2",2026-08-27,measured as reported,Includes 240 m rock
material_traversed,240,m,mostly shale,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 2-3,2026-08-27,measured/descriptive,Not evidence for whole-Earth transparency
proton_pulse_width,8.1,microsecond,facility configuration,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 2,2026-08-27,measured as reported,Not command-to-beam latency
proton_energy,120,GeV,facility configuration,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 2,2026-08-27,measured as reported,Incident proton kinetic energy
scheduled_pulse_cycle,2.2,s,nominal,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 6,2026-08-27,measured as reported,Not externally requested actuation
decay_pipe_length,675,m,helium filled,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 2-3,2026-08-27,measured/descriptive,Source-specific architecture
beam_composition,"88% nu_mu; 11% anti-nu_mu; 1% nu_e",fraction,configuration specific,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 3,2026-08-27,estimated/measured as reported,Spectrum dependent
energy_spectrum_peak,3.2,GeV,"FWHM about 2.8 GeV; 91.6% below 10 GeV",Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 3,2026-08-27,measured/estimated as reported,Not monoenergetic
beam_transverse_size_at_detector,"a few",m,"near 3.2 GeV peak; qualitative",Stancil et al. 2012,peer-reviewed paper / author manuscript,"p. 3; text after Fig. 1",2026-08-27,estimated/descriptive as reported,Source-specific at 1.035 km and not a transferable divergence law
full_detector_mass,170,metric tonne,geometry specific,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 3-4,2026-08-27,measured/descriptive,Most selected signal came from upstream-rock interactions
tracker_mass,3,metric tonne,geometry specific,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 3-4,2026-08-27,measured/descriptive,Not the effective communication mass
long_track_reconstruction_efficiency,">95",percent,exact uncertainty not reported in anchor,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 4,2026-08-27,measured as reported,Selection specific
communication_run_intensity,2.25e13,protons/pulse,run configuration,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 5,2026-08-27,measured as reported,Not emitted neutrino count
mean_qualifying_count,0.81,event/on pulse,Poisson fit and sample variability,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 5,2026-08-27,measured as reported,Specific source geometry detector and selection
selected_muon_timestamp_resolution,few,ns,no exact scalar bound in anchor,Stancil et al. 2012,peer-reviewed paper / author manuscript,p. 5,2026-08-27,measured as reported,Not actionable decision latency
ook_payload_and_frame,"40 payload; 92 coded; 64 sync; 156 total",bit,repeated frames,Stancil et al. 2012,peer-reviewed paper / author manuscript,"pp. 5-7; Fig. 5",2026-08-27,measured/descriptive,OOK plus convolutional code and PN synchronization
